model,best_params,best_cv_f1,accuracy,auc,precision,recall,f1,mcc,artifact
knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.8226492718667915,0.9619047619047619,0.9522056725446556,0.8865979381443299,0.8686868686868687,0.8775510204081632,0.8550598375134256,artifacts/knn_best.joblib
xgboost,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.2, 'clf__max_depth': 7, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.856295720503786,0.9603174603174603,0.9830603587665735,0.87,0.8787878787878788,0.8743718592964824,0.8508250392273519,artifacts/xgboost_best.joblib
random_forest,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8480007532138305,0.9555555555555556,0.9824801689208469,0.8901098901098901,0.8181818181818182,0.8526315789473684,0.8275351443708034,artifacts/random_forest_best.joblib
decision_tree,"{'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.8087556307995515,0.9428571428571428,0.9080066198710268,0.8058252427184466,0.8383838383838383,0.8217821782178217,0.7879907175034023,artifacts/decision_tree_best.joblib
naive_bayes,{'clf__var_smoothing': 1e-09},0.5423471022755134,0.7619047619047619,0.9088816602940897,0.3905579399141631,0.9191919191919192,0.5481927710843374,0.4913458751722457,artifacts/naive_bayes_best.joblib
logistic_regression,"{'clf__C': 1.0, 'clf__max_iter': 500}",0.5531329743197507,0.8873015873015873,0.9312712815537675,0.7592592592592593,0.41414141414141414,0.5359477124183006,0.5065727074974099,artifacts/logistic_regression_best.joblib
